id,text,normalized_text,amount,pred_amount,type,category,language_style,difficulty,case_type
VX-SU-003044,dibayar tujuh ratus rébu tina proyék freelance ka cash,dibayar tujuh ratus rébu tina proyék freelance ke cash,700000,,income,Freelance,su,medium,wallet_mention
VX-SU-003601,kuring sangu goréng lima belas rebu,kuring sangu goréng lima belas ribu,15000,5000.0,expense,Makan & Minum,su,easy,sundanese_daily_conversation
VX-SU-003244,abdi asup duit bulanan Rp750.000 ka cash,abdi asup duit bulanan rp750 000 ke cash,750000,,income,Gaji,su,medium,wallet_mention
VX-SU-003845,urang mésér lima belas rebu keur hayam géprék,urang mésér lima belas ribu keur hayam géprék,15000,5000.0,expense,Makan & Minum,su,easy,sundanese_daily_conversation
VX-SU-003180,poé ieu mayar balanja bulanan sakitar tilu ratus rébu tina cash,poé ieu bayar balanja bulanan sakitar tilu ratus rébu tina cash,300000,,expense,Belanja,su,medium,wallet_mention
VX-SU-001950,poé ieu desain logo asup Rp150.000,poé ieu desain logo asup rp150 000,150000,,income,Freelance,su,easy,income_basic
VX-SU-001576,minggu ieu nampi bonus damel Rp500.000,minggu ieu terima bonus damel rp500 000,500000,,income,Gaji,su,easy,income_basic
VX-SU-000489,peuting tadi mayar parkir motor sakitar sapuluh rébu,peuting tadi bayar parkir motor sakitar sapuluh rébu,10000,,expense,Transportasi,su,easy,expense_basic
VX-SU-000881,sim kuring meuli Rp7.000 keur és téh,sim kuring beli rp7 000 keur és téh,7000,,expense,Makan & Minum,su,easy,expense_basic
VX-SU-001029,urang mayar lima puluh rébu keur cai,urang bayar lima puluh rébu keur cai,50000,,expense,Tagihan & Utilitas,su,easy,expense_basic
VX-SU-000805,kamari mésér dahar siang sakitar opat puluh lima rébu,kamari mésér dahar siang sakitar opat puluh lima rébu,45000,,expense,Makan & Minum,su,easy,expense_basic
VX-SU-004886,kamari top up gopay dua ratus rébu tina bri,kamari top up gopay dua ratus rébu tina bri,200000,,transfer,Transfer,su,hard,transfer_future_optional
VX-SU-001364,peuting tadi mésér pulsa Rp25.000,peuting tadi mésér pulsa rp25 000,25000,,expense,Tagihan & Utilitas,su,easy,expense_basic
VX-SU-004882,abdi transfer Rp50.000 tina shopeepay ka bri,abdi transfer rp50 000 tina shopeepay ke bri,50000,,transfer,Transfer,su,hard,transfer_future_optional
VX-SU-001941,isuk tadi dibayar desain logo Rp150.000,isuk tadi dibayar desain logo rp150 000,150000,,income,Freelance,su,easy,income_basic
VX-SU-003050,urang narima gajih Rp1.500.000 ka dana,urang narima gajih rp1 500 000 ke dana,1500000,,income,Gaji,su,medium,wallet_mention
VX-SU-000961,kamari mésér saratus dua puluh lima rébu keur skincare,kamari mésér saratus dua puluh lima rébu keur skincare,125000,,expense,Belanja,su,easy,expense_basic
VX-SU-000203,kamari listrik lima puluh rébu,kamari listrik lima puluh rébu,50000,,expense,Tagihan & Utilitas,su,easy,expense_basic
VX-SU-003697,abdi dibayar ngadamel website Rp1.500.000,abdi dibayar ngadamel website rp1 500 000,1500000,,income,Freelance,su,easy,sundanese_daily_conversation
VX-SU-001328,urang meuli bensin saratus rébu,urang beli bensin saratus rébu,100000,,expense,Transportasi,su,easy,expense_basic
VX-SU-002952,poé ieu dibayar tujuh ratus lima puluh rébu tina ngadamel website ka bca,poé ieu dibayar tujuh ratus lima puluh rébu tina ngadamel website ke bca,750000,,income,Freelance,su,medium,wallet_mention
VX-SU-000131,tadi mésér tujuh puluh lima rébu keur skincare,tadi mésér tujuh puluh lima rébu keur skincare,75000,,expense,Belanja,su,easy,expense_basic
VX-SU-004640,kamari kapaké Rp100.000 jang netflix,kamari kapaké rp100 000 jang netflix,100000,,expense,Hiburan,su,hard,ambiguous_hard_case
VX-SU-004638,isuk tadi meunang lima ratus rébu ngadamel website,isuk tadi meunang lima ratus rébu ngadamel website,500000,,income,Freelance,su,hard,ambiguous_hard_case
VX-SU-001632,kuring bonus damel asup dua ratus lima puluh rébu,kuring bonus damel asup dua ratus lima puluh rébu,250000,,income,Gaji,su,easy,income_basic
VX-SU-002053,tadi duit bulanan asup lima ratus rébu,tadi duit bulanan asup lima ratus rébu,500000,,income,Gaji,su,easy,income_basic
VX-SU-004210,sim kuring aya duit asup hiji juta lima ratus rébu tina proyék freelance,sim kuring aya duit asup hiji juta lima ratus rébu tina proyék freelance,1500000,1000000.0,income,Freelance,su,medium,slang_typo_noisy_sunda
VX-SU-002859,kamari desain logo asup dua ratus lima puluh rébu ka ovo,kamari desain logo asup dua ratus lima puluh rébu ke ovo,250000,,income,Freelance,su,medium,wallet_mention
VX-SU-003489,isuk tadi hayam géprék Rp15.000,isuk tadi hayam géprék rp15 000,15000,,expense,Makan & Minum,su,easy,sundanese_daily_conversation
VX-SU-000861,kamari ubar batuk tilu puluh lima rébu,kamari ubar batuk tilu puluh lima rébu,35000,,expense,Kesehatan,su,easy,expense_basic
VX-SU-002271,urang angkot sapuluh rébu,urang angkot sapuluh rébu,10000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-000956,isuk tadi mésér baju tujuh puluh lima rébu,isuk tadi mésér baju tujuh puluh lima rébu,75000,,expense,Belanja,su,easy,expense_basic
VX-SU-002397,tadi bensin saratus rébu,tadi bensin saratus rébu,100000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-003844,kuring mayar tol sakitar lima belas rebu,kuring bayar tol sakitar lima belas ribu,15000,5000.0,expense,Transportasi,su,easy,sundanese_daily_conversation
VX-SU-001401,minggu ieu meuli vitamin Rp100.000,minggu ieu beli vitamin rp100 000,100000,,expense,Kesehatan,su,easy,expense_basic
VX-SU-001446,kuring tol Rp50.000,kuring tol rp50 000,50000,,expense,Transportasi,su,easy,expense_basic
VX-SU-004659,tadi kaluar Rp50.000 keur listrik,tadi kaluar rp50 000 keur listrik,50000,,expense,Tagihan & Utilitas,su,hard,ambiguous_hard_case
VX-SU-000099,sim kuring mayar karaoke sakitar Rp50.000,sim kuring bayar karaoke sakitar rp50 000,50000,,expense,Hiburan,su,easy,expense_basic
VX-SU-001022,sim kuring mayar saratus rébu keur apoték,sim kuring bayar saratus rébu keur apoték,100000,,expense,Kesehatan,su,easy,expense_basic
VX-SU-004652,abdi duit asup dua juta lima ratus rébu gajih,abdi duit asup dua juta lima ratus rébu gajih,2500000,2000000.0,income,Gaji,su,hard,ambiguous_hard_case
VX-SU-002201,ojék online tilu puluh rébu,ojék online tilu puluh rébu,30000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-001627,urang aya duit asup Rp250.000 tina desain logo,urang aya duit asup rp250 000 tina desain logo,250000,,income,Freelance,su,easy,income_basic
VX-SU-003994,kuring mayar lima belas rebu keur tol,kuring bayar lima belas ribu keur tol,15000,5000.0,expense,Transportasi,su,easy,sundanese_daily_conversation
VX-SU-000996,meuli dua belas rébu keur kopi,beli dua belas rébu keur kopi,12000,,expense,Makan & Minum,su,easy,expense_basic
VX-SU-003805,urang asup tujuh ratus lima puluh rébu tina duit bulanan atuh,urang asup tujuh ratus lima puluh rébu tina duit bulanan atuh,750000,,income,Gaji,su,easy,sundanese_daily_conversation
VX-SU-002769,sim kuring angkot tujuh rébu,sim kuring angkot tujuh rébu,7000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-000767,sim kuring listrik Rp200.000 mah,sim kuring listrik rp200 000 mah,200000,,expense,Tagihan & Utilitas,su,easy,expense_basic
VX-SU-001783,tadi nampi bayaran hiji juta lima ratus rébu tina ngadamel website,tadi terima bayaran hiji juta lima ratus rébu tina ngadamel website,1500000,1000000.0,income,Freelance,su,easy,income_basic
VX-SU-001435,meuli masker sakitar lima belas rébu,beli masker sakitar lima belas rébu,15000,,expense,Kesehatan,su,easy,expense_basic
VX-SU-001480,tadi ojék online Rp12.000,tadi ojék online rp12 000,12000,,expense,Transportasi,su,easy,expense_basic
VX-SU-003096,poé ieu mayar apoték tujuh puluh lima rébu tina shopeepay,poé ieu bayar apoték tujuh puluh lima rébu tina shopeepay,75000,,expense,Kesehatan,su,medium,wallet_mention
VX-SU-001603,kamari meunang duit tina proyék freelance Rp1.500.000,kamari meunang duit tina proyék freelance rp1 500 000,1500000,,income,Freelance,su,easy,income_basic
VX-SU-003730,tadi mayar ojék online Rp18.000 deui,tadi bayar ojék online rp18 000 deui,18000,,expense,Transportasi,su,easy,sundanese_daily_conversation
VX-SU-002383,isuk tadi mayar ojék online Rp12.000,isuk tadi bayar ojék online rp12 000,12000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-002452,urang mayar tol sakitar Rp25.000,urang bayar tol sakitar rp25 000,25000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-000836,abdi mayar angkot Rp5.000,abdi bayar angkot rp5 000,5000,,expense,Transportasi,su,easy,expense_basic
VX-SU-000404,sim kuring mayar apoték sakitar saratus rébu,sim kuring bayar apoték sakitar saratus rébu,100000,,expense,Kesehatan,su,easy,expense_basic
VX-SU-002804,urang balanja bulanan dua ratus rébu tina gopay,urang balanja bulanan dua ratus rébu tina gopay,200000,,expense,Belanja,su,medium,wallet_mention
VX-SU-004209,kuring hayam géprék dalapan belas rebu,kuring hayam géprék dalapan belas ribu,18000,8000.0,expense,Makan & Minum,su,medium,slang_typo_noisy_sunda
VX-SU-004512,isuk tadi kaluar lima ratus rébu keur tiket konser,isuk tadi kaluar lima ratus rébu keur tiket konser,500000,,expense,Hiburan,su,hard,ambiguous_hard_case
VX-SU-002435,kamari meuli saratus rébu keur bensin,kamari beli saratus rébu keur bensin,100000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-004510,isuk tadi saldo nambahan saratus rébu ngalereskeun bug aplikasi,isuk tadi saldo nambahan saratus rébu ngalereskeun bug aplikasi,100000,,income,Freelance,su,hard,ambiguous_hard_case
VX-SU-000254,urang jajan dua puluh rébu keur kopi,urang jajan dua puluh rébu keur kopi,20000,,expense,Makan & Minum,su,easy,expense_basic
VX-SU-004538,sim kuring saldo nambahan hiji juta lima ratus rébu proyék freelance,sim kuring saldo nambahan hiji juta lima ratus rébu proyék freelance,1500000,1000000.0,income,Freelance,su,hard,ambiguous_hard_case
VX-SU-000624,kamari mésér sampo sakitar dua puluh lima rébu,kamari mésér sampo sakitar dua puluh lima rébu,25000,,expense,Belanja,su,easy,expense_basic
VX-SU-003770,abdi asup hiji juta lima ratus rébu tina duit bulanan,abdi asup hiji juta lima ratus rébu tina duit bulanan,1500000,1000000.0,income,Gaji,su,easy,sundanese_daily_conversation
VX-SU-003945,urang aya duit asup dua ratus lima puluh rébu tina desain logo,urang aya duit asup dua ratus lima puluh rébu tina desain logo,250000,,income,Freelance,su,easy,sundanese_daily_conversation
VX-SU-001920,isuk tadi aya duit asup dua ratus lima puluh rébu tina proyék freelance,isuk tadi aya duit asup dua ratus lima puluh rébu tina proyék freelance,250000,,income,Freelance,su,easy,income_basic
VX-SU-004695,minggu ieu duit asup Rp3.000.000 gajih,minggu ieu duit asup rp3 000 000 gajih,3000000,,income,Gaji,su,hard,ambiguous_hard_case
VX-SU-003024,kuring mayar angkot sakitar dua belas rébu tina gopay,kuring bayar angkot sakitar dua belas rébu tina gopay,12000,,expense,Transportasi,su,medium,wallet_mention
VX-SU-000649,kamari meuli dua belas rebu keur baso,kamari beli dua belas ribu keur baso,12000,2000.0,expense,Makan & Minum,su,easy,expense_basic
VX-SU-004686,isuk tadi kapaké dua puluh lima rébu jang sabun,isuk tadi kapaké dua puluh lima rébu jang sabun,25000,,expense,Belanja,su,hard,ambiguous_hard_case
VX-SU-003172,abdi aya duit asup hiji juta lima ratus rébu tina ngadamel website ka cash,abdi aya duit asup hiji juta lima ratus rébu tina ngadamel website ke cash,1500000,1000000.0,income,Freelance,su,medium,wallet_mention
VX-SU-000503,minggu ieu vitamin Rp100.000,minggu ieu vitamin rp100 000,100000,,expense,Kesehatan,su,easy,expense_basic
VX-SU-002229,urang mayar tol lima puluh rébu,urang bayar tol lima puluh rébu,50000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-004888,tadi transfer Rp1.000.000 tina bca ka bri,tadi transfer rp1 000 000 tina bca ke bri,1000000,,transfer,Transfer,su,hard,transfer_future_optional
VX-SU-000748,minggu ieu mayar bioskop sakitar lima puluh rébu,minggu ieu bayar bioskop sakitar lima puluh rébu,50000,,expense,Hiburan,su,easy,expense_basic
VX-SU-002789,peuting tadi mayar angkot Rp5.000 nya,peuting tadi bayar angkot rp5 000 nya,5000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-002910,mayar cai sakitar saratus rébu tina ovo,bayar cai sakitar saratus rébu tina ovo,100000,,expense,Tagihan & Utilitas,su,medium,wallet_mention
VX-SU-004994,peuting tadi top up cash Rp1.000.000 tina bca,peuting tadi top up cash rp1 000 000 tina bca,1000000,,transfer,Transfer,su,hard,transfer_future_optional
VX-SU-000601,tadi mayar parkir motor lima rébu,tadi bayar parkir motor lima rébu,5000,,expense,Transportasi,su,easy,expense_basic
VX-SU-002687,abdi mayar tol lima puluh rébu,abdi bayar tol lima puluh rébu,50000,,expense,Transportasi,su,easy,transport_parkir_bensin
VX-SU-004671,kamari habis lima puluh rébu keur dokter,kamari habis lima puluh rébu keur dokter,50000,,expense,Kesehatan,su,hard,ambiguous_hard_case
VX-SU-000764,sim kuring dahar siang dua puluh rébu,sim kuring dahar siang dua puluh rébu,20000,,expense,Makan & Minum,su,easy,expense_basic
VX-SU-003854,minggu ieu nampi Rp750.000 tina bonus damel nya,minggu ieu terima rp750 000 tina bonus damel nya,750000,,income,Gaji,su,easy,sundanese_daily_conversation
VX-SU-003643,tadi gajih asup Rp3.500.000,tadi gajih asup rp3 500 000,3500000,,income,Gaji,su,easy,sundanese_daily_conversation
VX-SU-003531,abdi mésér tiket konser sakitar tilu ratus rébu,abdi mésér tiket konser sakitar tilu ratus rébu,300000,,expense,Hiburan,su,easy,sundanese_daily_conversation
VX-SU-003957,minggu ieu bonus damel asup dua ratus lima puluh rébu,minggu ieu bonus damel asup dua ratus lima puluh rébu,250000,,income,Gaji,su,easy,sundanese_daily_conversation
